topic,name,keywords,count,priority
23,IHR capacity,"ihr, implementation, focal, committee, nfp",161,iven lebanon s second request   jee evaluation   highly recommended   country convenes regular meetings   ihr multisectoral committee  ihr technical committee  follow    development  ihr capacities develops yearly reports  ihr implementation  shares  reports   sectors including   council  ministers  per  ministerial decree reviews existing sops  develops generic procedures  coordination  sharing  information   ihr nfp  focal points   sectors establishes  information technology  platform accessible  relevant sectors  different administrative levels  report  share information  public health events occurring   country enhances awareness  ihr  m advocacy activities targeting different audiences  ensure commitment particularly among  non-health sector m expanded membership   ihr multisectoral  technical committees  include nongovernmental sectors  advisory members  oie   international atomic energy agency iaea m evaluating  functionality   ihr nfp m  national plan  action  accelerate implementation  ihr capacities  allocated budget  sectors relevant   implementation  ihr capacities
42,Improve labs,"laboratory, quality, network, diagnostic, reference",158,improve  laboratory referral system  transport specimens  districtregional laboratories  reference laboratories  developing guidelines  sops  improving  communication   reference laboratories  regional laboratories
30,Community engagement,"risk, communication, community, engagement, message",145,strengthen  evidence-base used  guide risk communication  establishing  ongoing research plan  includes m  comprehensive audience analysis  better understand  information needs   preferred channels   many communities  mongolia m  media study  communications channels  better understand  communities  reach  emergencies   ones  missed m  systematic approach  monitor  evaluate  effectiveness  risk communication activities among  public  affected communities following outbreaks  events  m  budget  testing risk communication plans  materials   public  affected communities  advance  emergencies
45,Personnel deployment SOPs,"medical, personnel, international, countermeasure, receive",137,develop sops  protocols  medical countermeasures  personnel deployment protocols  include criteria  sending  receiving medical countermeasures  well  personnel  procedures  fast track importation  medical countermeasures including procedures  potential tax exemption  medical countermeasures  emergency situations agreements  neighbouring countries  regional organizations   formalized  ensure mutual cross-border aid personnel  medical countermeasures
40,Chemical event response,"chemical, event, respond, decision, poison",132,establish  legally constituted national interministerial commission  chemical events   budgeted programme  work   purpose  inter alia m systematic collection  exchange  information  chemical events   management  regular analysis   information   view  learning  experience m evaluating  risks involved  chemical events  communicating   relevant decision makers  specific action m educating  public  improving  awareness  decision-makers  chemical risks  identification minimization  available actions  respond  emergencies  training  strengthening  human resources m organizing biennially simulation exercises  test national  regional capacities  identify  respond  chemical events
38,Multi-hazard plan,"plan, preparedness, contingency, result, initiate",129,develop  multihazard national public health emergency preparedness  response plan  plan   integrated   poe emergency plans moreover ihr-compliant air  sea plans  also come   plan  addition cross-border collaboration   considered   development   plan
49,Food safety mechanisms,"food, safety, foodborne, inspection, issue",127,strengthen  formalize  existing cross-sectoral interdepartmental mechanism  coordination  collaboration   food safety stakeholders  use  mechanism  m develop  national food safety strategy  plan based   existing food law m clarify standards processes roles  responsibilities   stakeholder throughout  food chain m ensure communication among agencies  food safety events   ihr core capacities   lebanese republic m support  establishment   national database  food establishments   available   stakeholders m institutionalize  current food safety campaign   moph m build capacity  food product traceability  recall    pose  risk  public health enhance  skills  food safety inspectors  continuous training support  diagnostic capability  laboratories dedicated  food safety
15,Emergency staff training,"train, staff, moh, surge, curriculum",125,establish  master roster   personnel within  moh   expected  perform emergency management roles   established ims structure  roster  include       considered permanent staff   pheoc  well  surge staff  across  moh   expected  fulfil  ims role  upon activation   pheoc see indicator r assess public health emergency management training records  identify  individual training needs still required   initial roster  personnel   position specific training  training  existing sops   ihr core capacities  viet nam
7,Simulation exercise,"exercise, test, simulation, term, provincial",118,replicating federal ihr nfp  ihr task force modalities ihr provincial focal points fps   complemented  multisectoral ihr task forcescommittees   provincesareas provincial ihr fps must also  available  provincial task forces  also meet   regular basis  clear terms  reference tested  least yearly  simulation modalities     national level  simulation scenarios may also include testing  linkages  provinces areas  national authorities  assets
36,Public and animal health collaboration,"health, worker, expedite, wildlife, effort",110,improve collaboration   public health animal health  environmental health sectors   one health platform  national  subnational levels
4,Data sharing platform,"information, share, exchange, formal, platform",109, develop pheoc infrastructure  information system human resources hardware software operational dataset data sources data management information sharing platform  information products  improve  availability accessibility quality timeliness  usefulness  emergency operations information
11,Prevent zoonotic disease spread,"disease, control, zoonotic, care, infection",106,  human sector implement actions  decrease antimicrobial consumption  quinolones ambulatory care improve management  respiratory tract infections ambulatory care improve prevention  management  urinary tract infections ambulatory hospital  residential care
9,Assessment capacity,"capacity, core, republic, organize, kingdom",105,increase  number  kyrgyz participants   f programme  kyrgyzstan  ensure state funding  students   ihr core capacities   kyrgyz republic
10,Immunization coverage,"improve, increase, coverage, immunization, district",100,maintain  improve measles immunization coverage   populations  particular hard--reach populations     remote areas indigenous populations  migrant groups    areas  lower coverage  achieve  target  
25,Integrated disease surveillance system,"system, surveillance, integrate, robust, warn",99,establish one robust integrated  inclusive routine disease surveillance system considering  bangladesh   number  sentinel-based surveillance systems  addition    national disease surveillance system    plausible   country conducts  -depth assessment   disease surveillance system  capture good lessons  best practices   view  establishing one robust integrated  inclusive routine disease surveillance system covering  public  private sectors  well    existing surveillance streams   country    tuberculosis malaria hiv aids etc  one integrated disease surveillance system rather  numerous fragmented ones will also ensure efficiency gains  assessment  review  existing coverage effectiveness  sensitivities   systems  detect  public health event reported early either   community   health facilities
2,Antibiotic stewardship,"animal, human, antimicrobial, environmental, wildlife",98,mohfw  clarify  complex cross-cutting requirements  antimicrobial resistance stewardship via   detailed situation analysis   issue identifying challenges  detailed next steps including specific actions    animal side prevent use  antimicrobial agents  poultry  fish  growth promoters use antimicrobials  animals   culture  sensitivity testing discourage use  antimicrobials  animals   prioritized  human use   humans enact enforce  follow- laws  prevention  sale  antimicrobials   counter without prescription ensure good manufacturing practices  thereby manufacture  good quality antimicrobials   manufacturers finalize  implement standard treatment guidelines stgs  infectious diseases finalize  national antibiotic policy
19,Public health training,"public, health, institute, medicine, custom",98,adopt  two-pronged strategy  sustain  maintain  needs   existing public health workforce   short term oman  formalize agreements   countries  ensure  regular training  nationals  critical public health areas including  f   long term establish  public health institution  will provide   sustainable approach  public health workforce development
